"mixture_name","mix_name","mean_weight_pos","mean_weight_neg","imputation_number"
"Metals","arsenic.t1.res",0.0176226205024806,0.295545141251971,1
"Metals","cadmium.t1.res",0.86327494095836,0.041278922812595,1
"Metals","lead.t1.res",0.110817912549144,0.186498999898306,1
"Metals","mercury.t1.res",0.00828452599001544,0.476676936037128,1
"Metals","arsenic.t1.res",0.0178988691637791,0.280896899895382,2
"Metals","cadmium.t1.res",0.897431436740873,0.0257201443709941,2
"Metals","lead.t1.res",0.0805009918723671,0.189101025731163,2
"Metals","mercury.t1.res",0.00416870222298045,0.504281930002461,2
"Metals","arsenic.t1.res",0.0225751460758494,0.296683509619189,3
"Metals","cadmium.t1.res",0.785446265580838,0.0575117474021491,3
"Metals","lead.t1.res",0.184926033181513,0.148649981262729,3
"Metals","mercury.t1.res",0.00705255516179935,0.497154761715933,3
"Metals","arsenic.t1.res",0.0190085749139365,0.293344539212118,4
"Metals","cadmium.t1.res",0.862268755356106,0.0359388294704111,4
"Metals","lead.t1.res",0.112221095087784,0.189688752075201,4
"Metals","mercury.t1.res",0.00650157464217298,0.481027879242269,4
"Metals","arsenic.t1.res",0.0229587075886202,0.274645956959347,5
"Metals","cadmium.t1.res",0.842805415371174,0.0393140605267226,5
"Metals","lead.t1.res",0.129846012275893,0.175714769922321,5
"Metals","mercury.t1.res",0.00438986476431353,0.510325212591609,5
"Metals","arsenic.t1.res",0.0202242369296888,0.291938588857223,6
"Metals","cadmium.t1.res",0.88329431111476,0.0361551114702403,6
"Metals","lead.t1.res",0.0879664828793779,0.210785288512036,6
"Metals","mercury.t1.res",0.00851496907617327,0.461121011160502,6
"Metals","arsenic.t1.res",0.0321925731453868,0.268476193237901,7
"Metals","cadmium.t1.res",0.805440967788063,0.063437500901821,7
"Metals","lead.t1.res",0.156063667805817,0.17463080445415,7
"Metals","mercury.t1.res",0.00630279126073353,0.493455501406128,7
"Metals","arsenic.t1.res",0.0227275859896424,0.301831543264983,8
"Metals","cadmium.t1.res",0.822993350325549,0.043908507228093,8
