"mixture_name","mix_name","mean_weight_pos","mean_weight_neg","imputation_number"
"Metals","arsenic.t1.res",0.0206265436161269,0.34694421303281,1
"Metals","cadmium.t1.res",0.775190892107022,0.0569262215057816,1
"Metals","lead.t1.res",0.192406473474657,0.138943247112736,1
"Metals","mercury.t1.res",0.011776090802194,0.457186318348672,1
"Metals","arsenic.t1.res",0.0127516442532605,0.405429098796036,2
"Metals","cadmium.t1.res",0.621874051228722,0.0680182950547,2
"Metals","lead.t1.res",0.35308102273779,0.0784437229190711,2
"Metals","mercury.t1.res",0.0122932817802277,0.448108883230193,2
"Metals","arsenic.t1.res",0.0213428531917028,0.32119017231869,3
"Metals","cadmium.t1.res",0.682796833999434,0.0572223841646144,3
"Metals","lead.t1.res",0.287785432146561,0.0998390607952143,3
"Metals","mercury.t1.res",0.00807488066230242,0.521748382721481,3
"Metals","arsenic.t1.res",0.0131722024282659,0.384596055089314,4
"Metals","cadmium.t1.res",0.796477367723578,0.0354839897670082,4
"Metals","lead.t1.res",0.182653660084424,0.109941427415079,4
"Metals","mercury.t1.res",0.00769676976373123,0.469978527728599,4
"Metals","arsenic.t1.res",0.0144163370279655,0.349663229785058,5
"Metals","cadmium.t1.res",0.764149083901837,0.0336532755252899,5
"Metals","lead.t1.res",0.217350839291623,0.0841748521702238,5
"Metals","mercury.t1.res",0.00408373977857441,0.532508642519428,5
"Metals","arsenic.t1.res",0.0175590711151036,0.355664337718449,6
"Metals","cadmium.t1.res",0.759715735976799,0.0464776172808395,6
"Metals","lead.t1.res",0.211705331979726,0.122863777868638,6
"Metals","mercury.t1.res",0.0110198609283709,0.474994267132074,6
"Metals","arsenic.t1.res",0.0145917398608387,0.371570312019808,7
"Metals","cadmium.t1.res",0.746219134418521,0.0518161230241095,7
"Metals","lead.t1.res",0.230545407477393,0.109153161201566,7
"Metals","mercury.t1.res",0.00864371824324816,0.467460403754517,7
"Metals","arsenic.t1.res",0.0206396336712759,0.346696491984426,8
"Metals","cadmium.t1.res",0.613227184752082,0.0836086274512273,8
"Metals","lead.t1.res",0.353732735165305,0.0944265997793316,8
"Metals","mercury.t1.res",0.0124004464113372,0.475268280785015,8
"Metals","arsenic.t1.res",0.0145224718308483,0.394746861639195,9
"Metals","cadmium.t1.res",0.733082529867283,0.0475909304794373,9
"Metals","lead.t1.res",0.239536623642858,0.110917460540908,9
"Metals","mercury.t1.res",0.01285837465901,0.446744747340459,9
"Metals","arsenic.t1.res",0.0220222997814504,0.355380431946569,10
"Metals","cadmium.t1.res",0.714933669649198,0.0651094515583003,10
"Metals","lead.t1.res",0.246168298067366,0.136018332439203,10
"Metals","mercury.t1.res",0.0168757325019863,0.443491784055928,10
"OC Pesticides","bbhc.t1.res",0.050535426696975,0.642921046527905,1
"OC Pesticides","dde.t1.res",0.0658136113669156,0.176620096397835,1
"OC Pesticides","oxychlor.t1.res",0.108796365949414,0.151018962387569,1
"OC Pesticides","transnona.t1.res",0.774854595986696,0.0294398946866914,1
"OC Pesticides","bbhc.t1.res",0.122941040632398,0.395617387639226,2
"OC Pesticides","dde.t1.res",0.421185265437464,0.098794688307616,2
"OC Pesticides","oxychlor.t1.res",0.0634223214815124,0.394375196531017,2
"OC Pesticides","transnona.t1.res",0.392451372448625,0.111212727522141,2
"OC Pesticides","bbhc.t1.res",0.072946836610752,0.496993811985279,3
"OC Pesticides","dde.t1.res",0.391900282314018,0.0687701131169687,3
"OC Pesticides","oxychlor.t1.res",0.022389703223603,0.398385681329858,3
"OC Pesticides","transnona.t1.res",0.512763177851627,0.0358503935678943,3
"OC Pesticides","bbhc.t1.res",0.0784074494318257,0.391453078705547,4
