"mixture_name","beta_pos","lb_pos","ub_pos","se_pos","beta_neg","lb_neg","ub_neg","se_neg"
"Metals",0.09,-0.53,0.72,0.32,0.28,-0.53,1.08,0.41
"OC Pesticides",0.03,-0.74,0.79,0.39,-0.01,-0.79,0.77,0.4
"PFAS",-0.29,-0.9,0.31,0.31,-0.86,-1.51,-0.21,0.33
"PCBs",0.38,-0.28,1.03,0.34,0.44,-0.23,1.1,0.34
"All POPs",0.02,-0.92,0.97,0.48,-0.39,-1.38,0.61,0.51
