"mixture_name","psi","lb","ub","se","p"
"Metals",-0.09,-0.85,0.67,0.39,0.809
"OC Pesticides",-0.25,-0.91,0.41,0.34,0.456
"PFAS",-0.63,-1.22,-0.04,0.3,0.036
"PCBs",0.02,-0.55,0.59,0.29,0.94
"All POPs",-0.5,-1.46,0.45,0.49,0.301
