"mixture_name","name","weight","mod_var_name","mod_level","imputation_number"
"Metals","mercury.t1.res",-0.739883926151181,"fol.intake3",2,7
"Metals","arsenic.t1.res",0.154564655263317,"fol.intake3",3,7
"Metals","cadmium.t1.res",0.080444526714056,"fol.intake3",3,7
"Metals","lead.t1.res",0.39275541119247,"fol.intake3",3,7
"Metals","mercury.t1.res",0.372235406830158,"fol.intake3",3,7
"Metals","arsenic.t1.res",0.403894506367184,"fol.intake3",1,8
"Metals","cadmium.t1.res",-0.539001108067189,"fol.intake3",1,8
"Metals","lead.t1.res",0.596105493632817,"fol.intake3",1,8
"Metals","mercury.t1.res",-0.460998891932811,"fol.intake3",1,8
"Metals","arsenic.t1.res",-0.351805535623859,"fol.intake3",2,8
"Metals","cadmium.t1.res",0.272096999677498,"fol.intake3",2,8
"Metals","lead.t1.res",0.727903000322502,"fol.intake3",2,8
"Metals","mercury.t1.res",-0.648194464376141,"fol.intake3",2,8
"Metals","arsenic.t1.res",0.155718877603379,"fol.intake3",3,8
"Metals","cadmium.t1.res",0.064230117608671,"fol.intake3",3,8
"Metals","lead.t1.res",0.419732517138224,"fol.intake3",3,8
"Metals","mercury.t1.res",0.360318487649726,"fol.intake3",3,8
"Metals","arsenic.t1.res",0.37477261389639,"fol.intake3",1,9
"Metals","cadmium.t1.res",-0.530974950598402,"fol.intake3",1,9
"Metals","lead.t1.res",0.62522738610361,"fol.intake3",1,9
"Metals","mercury.t1.res",-0.469025049401598,"fol.intake3",1,9
"Metals","arsenic.t1.res",-0.407998108255681,"fol.intake3",2,9
"Metals","cadmium.t1.res",0.474604722142144,"fol.intake3",2,9
"Metals","lead.t1.res",0.525395277857856,"fol.intake3",2,9
"Metals","mercury.t1.res",-0.592001891744319,"fol.intake3",2,9
"Metals","arsenic.t1.res",0.18891099236433,"fol.intake3",3,9
"Metals","cadmium.t1.res",0.103978158511312,"fol.intake3",3,9
"Metals","lead.t1.res",0.413207256012495,"fol.intake3",3,9
"Metals","mercury.t1.res",0.293903593111863,"fol.intake3",3,9
"Metals","arsenic.t1.res",0.29749933253843,"fol.intake3",1,10
"Metals","cadmium.t1.res",-0.583767153084332,"fol.intake3",1,10
"Metals","lead.t1.res",0.70250066746157,"fol.intake3",1,10
"Metals","mercury.t1.res",-0.416232846915668,"fol.intake3",1,10
"Metals","arsenic.t1.res",-0.324444093885162,"fol.intake3",2,10
"Metals","cadmium.t1.res",0.641407782194703,"fol.intake3",2,10
"Metals","lead.t1.res",0.358592217805297,"fol.intake3",2,10
"Metals","mercury.t1.res",-0.675555906114838,"fol.intake3",2,10
"Metals","arsenic.t1.res",0.155443286382153,"fol.intake3",3,10
"Metals","cadmium.t1.res",0.10568380864153,"fol.intake3",3,10
"Metals","lead.t1.res",0.395483510845655,"fol.intake3",3,10
"Metals","mercury.t1.res",0.343389394130661,"fol.intake3",3,10
"OC Pesticides","bbhc.t1.res",-0.192136285331804,"fol.intake3",1,1
"OC Pesticides","dde.t1.res",0.822783691244911,"fol.intake3",1,1
