"mixture_name","psi","lb","ub","se","p"
"Metals",-0.12,-0.93,0.69,0.41,0.778
"OC Pesticides",-0.23,-0.91,0.44,0.34,0.492
"PFAS",-0.63,-1.22,-0.04,0.3,0.036
"PCBs",0.06,-0.52,0.65,0.3,0.83
"All POPs",-0.46,-1.42,0.5,0.49,0.349
