"mixture_name","psi","lb","ub","se","p"
"Metals",0.4,-0.38,1.18,0.4,0.316
"OC Pesticides",0.05,-0.62,0.72,0.34,0.889
"PFAS",-0.5,-1.09,0.08,0.3,0.09
"PCBs",0.36,-0.21,0.92,0.29,0.213
"All POPs",0.09,-0.87,1.05,0.49,0.854
